,de,en,es,fr,pl
2155,"Der Beitritt der EU entspricht ihrem Ansinnen, alle internationalen wie internen Kompetenzen an sich zu ziehen, aber unklar ist, wo die Kompetenzen ankommen sollen, die der nationalen Kontrolle entzogen werden.","In signing up, the EU is acting in accordance with its intention to arrogate all internal and international powers, but it is unclear as to where the powers withdrawn from national control, are to end up.","Señor Presidente, tomo la palabra en nombre de la delegación española del Grupo del Partido Popular Europeo para explicar por qué nos hemos abstenido en la votación, que en este caso es una toma de partido clara, aunque la abstención, normalmente, no lo es.","Pourtant, on néglige les acteurs locaux du développement, préférant discuter avec les gouvernements nationaux, subventionner les ONG du Nord aux dépens des programmes locaux et des ONG du Sud.","Dlatego uważam, że należy pozytywnie odnieść się do propozycji utworzenia europejskiego systemu zajmowania rachunków bankowych."
2156,"Zustimmung ist hier also nur angesagt, wenn das EP bei jeder Fortentwicklung des WIPO-Rechts von Anfang bis zum Ende einbezogen ist und Mitentscheidungsrecht hat.","Therefore assent will only be the order of the day here if the EP is involved in the development of WIPO law every step of the way, from start to finish, and has the right of codecision.","Nos hemos abstenido porque, por una parte, compartimos la idea simbólica y los principios de la lucha contra el racismo y la xenofobia, porque algunos puntos de este informe contienen declaraciones importantes. Por citar sólo dos, citaré el apartado 8, sobre las funciones del Observatorio Europeo del Racismo y la Xenofobia; o el apartado 24, que invita a los Estados miembros a esta lucha en algunos temas muy concretos.","Agriculture, environnement, voilà encore d'autres problèmes, d'autres incohérences qu'on aurait pu relever, sans oublier la recherche, l'émigration ou la santé.","Biorąc pod uwagę rosnącą integrację w zakresie obrotu płatniczego w euro, takie uregulowanie prawne wydaje się być konieczne i rozsądne."
2157,Das ist im Amsterdamer Vertrag nicht vorgesehen.,This is not provided for in the Treaty of Amsterdam.,"Pero, por otra parte, a diferencia del informe Haarder, que hemos votado esta mañana, éste es un informe radicalmente demagógico y falto de rigor jurídico.","Bref, on prétend vouloir aider les pays en voie de développement et, dans le même temps, on encourage la libéralisation des marchés, tout en reconnaissant qu'elle va à l'encontre d'un tel objectif.","Gratuluję panu Lechnerowi tego sprawozdania i myślę, że będzie ono naprawdę bardzo ważnym wydarzeniem prawnym dla Unii Europejskiej."
2158,Was sagt die Kommission dazu?,What does the Commission have to say to that?,"Y este Parlamento, que es colegislador, debe saber que cualquier pronunciamiento suyo tiene o valor jurídico o, como en este caso, valor cuasi-jurídico, por lo que debería tener más cuidado.","Redisons-le une nouvelle fois : la politique de coopération et de développement de l'Union européenne n'est pas cohérente. Au nom du groupe des Verts, donc, j'invite le Parlement, les institutions, la Commission à essayer, ensemble, de mettre enfin de la cohérence dans notre politique.",w imieniu grupy PSE. - Pani Przewodnicząca! Panie Komisarzu!
2159,"Wesentliche Aspekte sind in den WIPO-Vertragsentwürfen unklar geblieben, das sagt auch die Berichterstatterin.","Crucial aspects have remained unclear in the draft treaties, and the rapporteur says the same.","Déjenme darles sólo un ejemplo al respecto: el apartado 22, en el que se pide que se dé contenido a la ciudadanía europea, extendiendo el derecho de voto en las elecciones europeas y locales a los ciudadanos de terceros Estados residentes en la Comunidad.","Monsieur le Président, Mesdames et Messieurs les Parlementaires, au nom du Parlement européen, j'ai le très grand honneur de souhaiter une chaleureuse bienvenue à M. Václav Havel, président de la République tchèque.",Unia Europejska nie jest jedynie wspólnym obszarem gospodarczym. Wymiar europejski należy obecnie pojmować w świetle idei intensywnej politycznej i prawnej integracji Unii.
2160,"Um ein Beispiel zu nennen: Der Begriff ""Urheber "" ist eben im Vertrag gar nicht definiert. Damit wären Rechtsstreitigkeiten für die Vertragsparteien vorprogrammiert.","To quote one example: the concept ""author"" is not defined in any way in the Treaty, which would make the situation ripe for litigation amongst parties to the Treaty.","Evidentemente, eso va, de entrada, contra el Tratado.","J'aimerais également exprimer mes souhaits de bienvenue à Mme Havel, qui a pris place à la tribune.",Unia stanowi przykład organizacji politycznej łączącej interesy poszczególnych państw członkowskich w ramach rodzącego się kosmopolitycznego systemu prawnego.
2161,Hier frage ich die Kommission: Will sie blinden Auges in dieses Problem hineinlaufen?,I would like to ask the Commission at this point if it intends to go into this with its eyes shut?,Está mal formulado.,"Madame, soyez la bienvenue.","Choć część przepisów prawa karnego państw członkowskich znajduje się jeszcze we wstępnej fazie harmonizacji, cieszy fakt, że stosunki między państwami członkowskimi cechuje wzajemne zaufanie do systemów prawnych innych państw członkowskich, co ułatwia współpracę i umożliwia uznanie przez państwo wykonujące decyzji podjętej przez organy państwa wydającego."
2162,Will sie anderen Vertragsparteien ihre Urheberrechtsdefinitionen aufzwingen?,Does it intend to impose its own definitions of copyright on other parties to the Treaty?,"Y podría dar más ejemplos como éste, que justifican nuestra abstención.",(Applaudissements),"Na uwagę zasługuje fakt, iż humanizacja prawa karnego przenika do europejskiego systemu prawnego, który oparty jest przecież na podstawowej wartości, jaką jest człowiek."
2163,Auch stützt sich die WIPO-Konzeption auf das Individualrechtskonzept.,"In addition, the WIPO approach is based on the concept of individual rights.","Gracias, señor Evans, por su observación.","Ce n'est pas la première fois que nous vous accueillons en notre Parlement, Monsieur le Président.",Polityka europejska powinna być spójna we wszystkich wymiarach w odniesieniu do ustalenia i wykonywania wyroków oraz ogólnych związków między osobami skazanymi a społeczeństwem.
2164,"Das führt z. B. bei den indigenous people der Sami zu Problemen, da sie ein anderes Rechtsverständnis, ein Kollektivrechtsverständnis haben.","This will lead to problems for indigenous people such as the Sami, for they have a different notion of rights: that of collective rights.","Se transmitirá, no a los servicios sino, por supuesto, a la Mesa.","Vous avez déjà parlé en plénière, à Strasbourg, il y a presque six ans, en mars 1994, et beaucoup d'entre nous en conservent un souvenir très fort, c'est-à-dire ceux de nos collègues qui étaient déjà parlementaires à cette époque.","Ułatwienia w stosowaniu kar alternatywnych służą propagowaniu humanitarnego podejścia do prawa karnego i wyroków, a co za tym idzie promocji prawa europejskiego."
2165,Es stehen aber auch öffentliche Interessen auf dem Spiel.,"However, there are also public interests at stake.","Porque si, además, usted añadiera la consideración del coste económico de cada una de estas votaciones para el presupuesto del Parlamento entonces tendría un motivo de preocupación suplementario.","En effet, juste après l'entrée en vigueur du traité de Maastricht, vous vous étiez prononcé en faveur d'un renforcement des valeurs européennes, de la création d'une dimension éthique européenne, de l'ouverture de l'Union aux pays de l'Europe centrale et orientale.",Należy szczególnie wziąć pod uwagę prawo oraz możliwość powrotu do społeczeństwa osoby skazanej.
2166,"Unklar ist z. B., ob es öffentlichen Bibliotheken in Zukunft überhaupt noch erlaubt ist, kostenlos Bücher, Videos und Kassetten zu verleihen.","For example, it is unclear as to whether public libraries will even be allowed to loan books, videos and cassettes at no charge in the future.",". Señor Presidente, señoras y señores diputados, señor Comisario, el debate que inicio sobre este título tan largo, que usted mismo acaba de anunciar, constituye el último tramo de una obra que el Parlamento, en estrecho contacto con la Comisión, ha llevado a cabo para reforzar las relaciones con México sobre la base de los principios y los valores que sirven de fundamento al sistema democrático.","C'est dire que pour beaucoup de citoyens, et pas seulement dans votre pays, vous incarnez cette Europe des valeurs à laquelle nous rappelons sans cesse notre attachement.",Należy zatem rozważyć możliwość szerszego stosowania kar alternatywnych do kary pozbawienia wolności.
2167,Damit wird das Recht auf gleichen Bildungszugang unmittelbar berührt.,This would directly affect the individual' s right to equality of opportunity with regard to access to education.,"En efecto, en mayo de 1999, el Parlamento emitió su dictamen conforme sobre la celebración de un acuerdo de asociación económica, concertación política y cooperación, suscrito en 1997 entre la Comunidad Europea y sus Estados miembros, por una parte, y México, por otra, que, una vez ratificado por todos los Estados miembros, sustituirá al acuerdo de cooperación suscrito el año 1991 entre la Comunidad y México.","Après deux élections au Parlement européen, une nouvelle réforme importante des traités de l'Union européenne, les relations de l'Union avec la République tchèque ont connu un développement extrêmement dynamique.","Pamiętajmy, że według światowych standardów status osoby skazanej stanowi podstawę dla określenia stopnia ucywilizowania jakości systemu wymiaru sprawiedliwości każdej wspólnoty politycznej."
